covid-19	1237435123072667649	0.715	TeamGolfModel1
covid-19	1236987957405536256	0.645	TeamGolfModel1
covid-19	1237216806068051968	0.64	TeamGolfModel1
covid-19	1237182053843689474	0.625	TeamGolfModel1
covid-19	1237512557088260097	0.61	TeamGolfModel1
covid-19	1236993397027745793	0.6	TeamGolfModel1
covid-19	1237148966204125186	0.58	TeamGolfModel1
covid-19	1237196898869678080	0.565	TeamGolfModel1
covid-19	1237036960562249728	0.545	TeamGolfModel1
covid-19	1237128571988127744	0.52	TeamGolfModel1
covid-19	1237183270086942720	0.515	TeamGolfModel1
covid-19	1237576863901290496	0.51	TeamGolfModel1
covid-19	1237028997344755721	0.49	TeamGolfModel1
covid-19	1237538445213315074	0.47	TeamGolfModel1
covid-19	1237430619858259969	0.465	TeamGolfModel1
covid-19	1237404681724407811	0.465	TeamGolfModel1
covid-19	1237159267070664705	0.46	TeamGolfModel1
covid-19	1236947198971125761	0.455	TeamGolfModel1
covid-19	1237204874548457472	0.45	TeamGolfModel1
covid-19	1237195828189634560	0.445	TeamGolfModel1
covid-19	1237039035257769986	0.435	TeamGolfModel1
covid-19	1237025880834281479	0.425	TeamGolfModel1
covid-19	1237539504086347777	0.415	TeamGolfModel1
covid-19	1236996933610340359	0.41	TeamGolfModel1
covid-19	1236745013192732679	0.4	TeamGolfModel1
covid-19	1237382759812861952	0.4	TeamGolfModel1
covid-19	1237349974905688069	0.395	TeamGolfModel1
covid-19	1237206028569079810	0.395	TeamGolfModel1
covid-19	1237032122684182528	0.39	TeamGolfModel1
covid-19	1236943377503064067	0.39	TeamGolfModel1
covid-19	1237073768742293506	0.385	TeamGolfModel1
covid-19	1237512564902432768	0.385	TeamGolfModel1
covid-19	1237095541776900096	0.38	TeamGolfModel1
covid-19	1237485314060492801	0.38	TeamGolfModel1
covid-19	1237325962733400064	0.375	TeamGolfModel1
covid-19	1237066141178236930	0.37	TeamGolfModel1
covid-19	1237223105535381505	0.37	TeamGolfModel1
covid-19	1237077057814908932	0.365	TeamGolfModel1
covid-19	1237018298488950784	0.365	TeamGolfModel1
covid-19	1237237612391219200	0.36	TeamGolfModel1
covid-19	1236982705604243457	0.355	TeamGolfModel1
covid-19	1237167569246679040	0.355	TeamGolfModel1
covid-19	1237067403219161091	0.355	TeamGolfModel1
covid-19	1236982564503486465	0.35	TeamGolfModel1
covid-19	1237380914126217223	0.34	TeamGolfModel1
covid-19	1236969339967934465	0.34	TeamGolfModel1
covid-19	1237177675212640261	0.325	TeamGolfModel1
covid-19	1237144631269158912	0.325	TeamGolfModel1
covid-19	1237106694188150784	0.32	TeamGolfModel1
covid-19	1237109361933156354	0.315	TeamGolfModel1
covid-19	1237121795670659072	0.315	TeamGolfModel1
covid-19	1237274332906356737	0.305	TeamGolfModel1
covid-19	1237175429494181889	0.305	TeamGolfModel1
covid-19	1237080922278821891	0.3	TeamGolfModel1
covid-19	1237129564121231360	0.295	TeamGolfModel1
covid-19	1237039358215098371	0.285	TeamGolfModel1
covid-19	1237392887060389888	0.285	TeamGolfModel1
covid-19	1237178597024108552	0.285	TeamGolfModel1
covid-19	1237209114532630529	0.285	TeamGolfModel1
covid-19	1237024603232493568	0.285	TeamGolfModel1
covid-19	1237310312849735681	0.28	TeamGolfModel1
covid-19	1237523380380651520	0.28	TeamGolfModel1
covid-19	1237047469265084421	0.27	TeamGolfModel1
covid-19	1237220222458826752	0.265	TeamGolfModel1
covid-19	1237516104647315456	0.26	TeamGolfModel1
covid-19	1236778356105981953	0.255	TeamGolfModel1
covid-19	1236972990492897281	0.255	TeamGolfModel1
covid-19	1237566778873532417	0.25	TeamGolfModel1
covid-19	1237356454945964034	0.25	TeamGolfModel1
covid-19	1237008486094921728	0.25	TeamGolfModel1
covid-19	1237013673836675073	0.25	TeamGolfModel1
covid-19	1237049266498973696	0.245	TeamGolfModel1
covid-19	1237430518745985024	0.245	TeamGolfModel1
covid-19	1237455568853442565	0.245	TeamGolfModel1
covid-19	1237031175979483136	0.24	TeamGolfModel1
covid-19	1237071771334889472	0.24	TeamGolfModel1
covid-19	1237228762976129024	0.235	TeamGolfModel1
covid-19	1237019056139624449	0.235	TeamGolfModel1
covid-19	1237050222485868544	0.235	TeamGolfModel1
covid-19	1237119895965483008	0.235	TeamGolfModel1
covid-19	1237212151967657984	0.23	TeamGolfModel1
covid-19	1236707777327833094	0.23	TeamGolfModel1
covid-19	1237294831589875712	0.225	TeamGolfModel1
covid-19	1237123318811185152	0.225	TeamGolfModel1
covid-19	1236918862890713089	0.225	TeamGolfModel1
covid-19	1237089665875726336	0.22	TeamGolfModel1
covid-19	1237234567423107077	0.22	TeamGolfModel1
covid-19	1236908728227512322	0.22	TeamGolfModel1
covid-19	1237058854615166976	0.215	TeamGolfModel1
covid-19	1237160250513522688	0.215	TeamGolfModel1
covid-19	1237080655462350853	0.215	TeamGolfModel1
covid-19	1237117310151909381	0.21	TeamGolfModel1
covid-19	1237494212175826945	0.21	TeamGolfModel1
covid-19	1237360970428641281	0.2	TeamGolfModel1
covid-19	1237162333589442560	0.2	TeamGolfModel1
covid-19	1237045226977603584	0.2	TeamGolfModel1
covid-19	1237131378048684032	0.195	TeamGolfModel1
covid-19	1237591488126570498	0.19	TeamGolfModel1
covid-19	1237223492841398272	0.185	TeamGolfModel1
covid-19	1237063585580318720	0.18	TeamGolfModel1
covid-19	1237049835099959302	0.17	TeamGolfModel1
covid-19	1237154985961496576	0.165	TeamGolfModel1
covid-19	1237137992478642182	0.165	TeamGolfModel1
covid-19	1237388429123637248	0.165	TeamGolfModel1
covid-19	1237279969287561217	0.16	TeamGolfModel1
covid-19	1237271544440721408	0.155	TeamGolfModel1
covid-19	1237134158574620672	0.155	TeamGolfModel1
covid-19	1236907794181152769	0.145	TeamGolfModel1
covid-19	1237333647771832320	0.145	TeamGolfModel1
covid-19	1237094362544209920	0.145	TeamGolfModel1
covid-19	1237377670435852291	0.145	TeamGolfModel1
covid-19	1237411280106881024	0.125	TeamGolfModel1
covid-19	1237127885674237958	0.125	TeamGolfModel1
covid-19	1237297931801243648	0.12	TeamGolfModel1
covid-19	1237204569089867782	0.115	TeamGolfModel1
covid-19	1237484091546705921	0.115	TeamGolfModel1
covid-19	1236999087112761344	0.115	TeamGolfModel1
covid-19	1237226775148662784	0.1	TeamGolfModel1
covid-19	1237015471532244993	0.1	TeamGolfModel1
covid-19	1237121558646267904	0.1	TeamGolfModel1
covid-19	1236911769546821633	0.09	TeamGolfModel1
covid-19	1237083404543418368	0.09	TeamGolfModel1
covid-19	1237173825395019778	0.08	TeamGolfModel1
covid-19	1237049051058561024	0.075	TeamGolfModel1
covid-19	1237185090079383553	0.075	TeamGolfModel1
covid-19	1237195792043171841	0.065	TeamGolfModel1
covid-19	1237453577653604352	0.055	TeamGolfModel1
covid-19	1237154750031953920	0.05	TeamGolfModel1
covid-19	1237008932075384832	0.045	TeamGolfModel1
covid-19	1237125962871037953	0.045	TeamGolfModel1
covid-19	1237005180199219203	0.035	TeamGolfModel1
covid-19	1237595955949490176	0.03	TeamGolfModel1
covid-19	1237404343311179778	0.025	TeamGolfModel1
covid-19	1236988267930832896	0.015	TeamGolfModel1
covid-19	1237426492826472448	0.015	TeamGolfModel1
covid-19	1236911907027791873	0.01	TeamGolfModel1
covid-19	1236859724353716224	0.005	TeamGolfModel1
covid-19	1237384116141768704	0.0	TeamGolfModel1
covid-19	1237179694815969280	0.0	TeamGolfModel1
covid-19	1237207721604235264	0.0	TeamGolfModel1
